timestamp,cpu_percent,memory_percent,memory_mb,active_workers,queued_tasks
2025-12-11T16:53:16.095416,7.7,90.1,7036.01171875,0,0
2025-12-11T16:53:17.096729,7.3,90.2,7041.15625,0,0
2025-12-11T16:53:18.098141,7.5,90.2,7046.15234375,0,0
2025-12-11T16:53:19.099430,8.6,90.5,7069.5625,0,0
2025-12-11T16:53:20.100802,7.6,90.6,7074.77734375,0,0
2025-12-11T16:53:21.102254,7.1,90.6,7078.57421875,0,0
2025-12-11T16:53:22.103485,7.8,90.7,7081.95703125,0,0
2025-12-11T16:53:23.104742,7.1,90.7,7086.25,0,0
2025-12-11T16:53:24.106036,7.3,90.8,7089.7109375,0,0
2025-12-11T16:53:25.107380,7.9,90.8,7093.8359375,0,0
2025-12-11T16:53:26.108803,7.9,92.7,7242.62890625,0,0
2025-12-11T16:53:27.111217,11.0,98.8,7714.41015625,0,0
2025-12-11T16:53:28.113402,18.4,75.5,5894.44140625,0,0
2025-12-11T16:53:29.115189,17.2,75.8,5921.76953125,0,0
2025-12-11T16:53:30.116656,16.8,76.2,5951.6796875,0,0
2025-12-11T16:53:31.118321,16.1,77.0,6016.1484375,0,0
2025-12-11T16:53:32.119299,26.7,77.1,6020.05859375,0,0
2025-12-11T16:53:33.120722,24.2,77.1,6020.765625,0,0
2025-12-11T16:53:34.122406,26.5,77.1,6020.66015625,0,0
2025-12-11T16:53:35.123774,26.0,77.1,6020.34765625,0,0
2025-12-11T16:53:36.125451,25.5,77.1,6022.20703125,0,0
2025-12-11T16:53:37.126988,29.0,77.1,6020.4375,0,0
2025-12-11T16:53:38.128477,26.2,77.1,6021.6796875,0,0
2025-12-11T16:53:39.129840,26.2,77.1,6019.83203125,0,0
2025-12-11T16:53:40.131223,26.1,77.1,6021.28125,0,0
2025-12-11T16:53:41.132584,26.4,77.1,6022.6953125,0,0
2025-12-11T16:53:42.134064,26.0,77.1,6024.51171875,0,0
2025-12-11T16:53:43.135709,28.1,77.2,6025.74609375,0,0
2025-12-11T16:53:44.137148,24.6,77.2,6025.57421875,0,0
2025-12-11T16:53:45.138660,26.4,77.2,6025.6015625,0,0
2025-12-11T16:53:46.140251,26.1,77.2,6026.03515625,0,0
2025-12-11T16:53:47.141748,26.4,77.2,6026.46875,0,0
2025-12-11T16:53:48.143369,29.2,77.2,6027.65625,0,0
2025-12-11T16:53:49.145039,26.6,77.2,6028.0,0,0
2025-12-11T16:53:50.146489,26.3,77.2,6028.203125,0,0
2025-12-11T16:53:51.147982,26.8,77.2,6027.90625,0,0
2025-12-11T16:53:52.149600,26.3,77.2,6029.1328125,0,0
2025-12-11T16:53:53.151374,26.3,77.2,6028.75390625,0,0
2025-12-11T16:53:54.153000,26.1,77.2,6029.0703125,0,0
2025-12-11T16:53:55.154539,26.3,77.2,6030.3515625,0,0
2025-12-11T16:53:56.155271,27.7,77.2,6030.81640625,0,0
2025-12-11T16:53:57.156918,28.3,77.2,6030.29296875,0,0
2025-12-11T16:53:58.158539,27.5,77.2,6031.453125,0,0
2025-12-11T16:53:59.159313,26.9,77.2,6029.83203125,0,0
2025-12-11T16:54:00.160816,24.3,77.2,6031.98046875,0,0
2025-12-11T16:54:01.162271,14.4,77.2,6031.0859375,0,0
2025-12-11T16:54:02.163556,12.1,60.2,4701.75,0,0
2025-12-11T16:54:03.165147,18.3,61.0,4761.96484375,0,0
2025-12-11T16:54:04.166697,26.6,64.0,4999.046875,0,0
2025-12-11T16:54:05.167654,27.3,65.2,5090.21875,0,0
2025-12-11T16:54:06.169321,27.2,65.4,5110.39453125,0,0
2025-12-11T16:54:07.171020,26.4,65.5,5114.41015625,0,0
2025-12-11T16:54:08.172743,26.5,65.5,5114.953125,0,0
2025-12-11T16:54:09.174382,25.5,65.5,5119.26171875,0,0
2025-12-11T16:54:10.175921,26.5,65.6,5122.0,0,0
2025-12-11T16:54:11.177263,25.6,65.6,5124.375,0,0
2025-12-11T16:54:12.178967,26.3,65.7,5134.95703125,0,0
2025-12-11T16:54:13.180722,26.2,65.8,5136.6796875,0,0
2025-12-11T16:54:14.182367,26.2,65.7,5134.9921875,0,0
2025-12-11T16:54:15.183813,25.8,65.8,5139.91015625,0,0
2025-12-11T16:54:16.184270,26.5,65.8,5140.1171875,0,0
2025-12-11T16:54:17.185411,24.2,65.8,5140.83203125,0,0
2025-12-11T16:54:18.187115,29.1,65.8,5141.06640625,0,0
2025-12-11T16:54:19.188675,29.4,65.9,5143.05859375,0,0
2025-12-11T16:54:20.190249,26.2,65.9,5146.80078125,0,0
2025-12-11T16:54:21.191351,26.1,65.9,5148.7578125,0,0
