timestamp,elapsed_seconds,process_name,pid,cpu_percent,memory_rss_mb,memory_percent
2025-12-10T00:01:08.544071,0.0,rq,2850,0.0,12.7,0.16
2025-12-10T00:01:08.544071,0.0,uvicorn,27555,79.9,17.17,0.22
2025-12-10T00:01:09.780142,1.24,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:09.780142,1.24,rq,9390,578.5,427.11,5.47
2025-12-10T00:01:09.780142,1.24,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:11.094396,2.55,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:11.094396,2.55,rq,9390,69.9,541.96,6.94
2025-12-10T00:01:11.094396,2.55,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:12.400433,3.86,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:12.400433,3.86,rq,9390,89.8,606.26,7.76
2025-12-10T00:01:12.400433,3.86,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:13.704390,5.16,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:13.704390,5.16,rq,9390,0.0,620.51,7.94
2025-12-10T00:01:13.704390,5.16,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:15.013172,6.47,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:15.013172,6.47,rq,9390,0.0,621.38,7.96
2025-12-10T00:01:15.013172,6.47,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:16.322975,7.78,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:16.322975,7.78,rq,9390,0.0,621.38,7.96
2025-12-10T00:01:16.322975,7.78,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:17.630691,9.09,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:17.630691,9.09,rq,9390,0.0,621.51,7.96
2025-12-10T00:01:17.630691,9.09,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:18.940580,10.4,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:18.940580,10.4,rq,9390,0.0,621.51,7.96
2025-12-10T00:01:18.940580,10.4,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:20.251979,11.71,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:20.251979,11.71,rq,9390,0.0,621.88,7.96
2025-12-10T00:01:20.251979,11.71,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:21.558097,13.01,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:21.558097,13.01,rq,9390,99.8,777.7,9.96
2025-12-10T00:01:21.558097,13.01,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:22.862228,14.32,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:22.862228,14.32,rq,9390,159.6,1697.84,21.74
2025-12-10T00:01:22.862228,14.32,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:24.166233,15.62,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:24.166233,15.62,rq,9390,399.2,3203.84,41.02
2025-12-10T00:01:24.166233,15.62,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:25.470674,16.93,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:25.470674,16.93,rq,9390,0.0,3589.59,45.96
2025-12-10T00:01:25.470674,16.93,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:26.780446,18.24,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:26.780446,18.24,rq,9390,0.0,3589.59,45.96
2025-12-10T00:01:26.780446,18.24,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:28.088401,19.54,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:28.088401,19.54,rq,9390,0.0,3589.59,45.96
2025-12-10T00:01:28.088401,19.54,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:29.397976,20.85,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:29.397976,20.85,rq,9390,0.0,3589.59,45.96
2025-12-10T00:01:29.397976,20.85,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:30.704975,22.16,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:30.704975,22.16,rq,9390,0.0,3589.59,45.96
2025-12-10T00:01:30.704975,22.16,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:32.016176,23.47,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:32.016176,23.47,rq,9390,0.0,3589.59,45.96
2025-12-10T00:01:32.016176,23.47,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:33.323674,24.78,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:33.323674,24.78,rq,9390,0.0,3589.59,45.96
2025-12-10T00:01:33.323674,24.78,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:34.630331,26.09,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:34.630331,26.09,rq,9390,0.0,3589.59,45.96
2025-12-10T00:01:34.630331,26.09,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:35.940914,27.4,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:35.940914,27.4,rq,9390,99.8,4473.16,57.27
2025-12-10T00:01:35.940914,27.4,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:37.245504,28.7,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:37.245504,28.7,rq,9390,99.8,4570.16,58.52
2025-12-10T00:01:37.245504,28.7,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:38.550371,30.01,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:38.550371,30.01,rq,9390,99.7,4596.91,58.86
2025-12-10T00:01:38.550371,30.01,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:39.855353,31.31,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:39.855353,31.31,rq,9390,99.8,4601.16,58.91
2025-12-10T00:01:39.855353,31.31,uvicorn,27555,10.0,20.38,0.26
2025-12-10T00:01:41.160605,32.62,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:41.160605,32.62,rq,9390,99.8,4605.29,58.97
2025-12-10T00:01:41.160605,32.62,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:42.464759,33.92,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:42.464759,33.92,rq,9390,99.7,4609.16,59.01
2025-12-10T00:01:42.464759,33.92,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:43.768586,35.22,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:43.768586,35.22,rq,9390,99.8,4613.29,59.07
2025-12-10T00:01:43.768586,35.22,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:45.072791,36.53,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:45.072791,36.53,rq,9390,99.6,4617.16,59.12
2025-12-10T00:01:45.072791,36.53,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:46.377263,37.83,rq,2850,0.0,13.2,0.17
2025-12-10T00:01:46.377263,37.83,rq,9390,99.7,4621.04,59.17
2025-12-10T00:01:46.377263,37.83,uvicorn,27555,0.0,20.38,0.26
2025-12-10T00:01:47.680614,39.14,rq,2850,0.0,13.2,0.17
